id,Borough,Sub-Borough,rent12
1,2,11,21
2,2,13,23
3,2,12,22
4,2,4,14
5,1,2,2
6,1,6,6
7,1,10,10
8,1,10,10
9,2,17,27
10,2,9,19
11,2,6,16
12,4,4,42
13,2,16,26
14,4,12,50
15,4,5,43
16,1,4,4
17,4,9,47
18,2,15,25
19,1,5,5
20,3,3,31
21,2,5,15
22,1,3,3
23,2,8,18
24,2,6,16
25,4,10,48
26,4,13,51
27,2,14,24
28,2,2,12
29,2,3,13
30,3,1,29
31,2,7,17
32,4,13,51
33,1,8,8
34,2,10,20
35,4,3,41
36,3,8,36
37,4,7,45
38,4,11,49
39,3,9,37
40,5,1,53
41,1,1,1
42,3,10,38
43,1,1,1
44,1,2,2
45,3,5,33
46,3,2,30
47,3,1,29
48,3,3,31
49,3,5,33
50,3,7,35
51,3,6,34
52,4,8,46
53,4,4,42
54,4,14,52
55,4,6,44
56,4,9,47
57,5,3,55
58,4,14,52
59,1,7,7
60,1,8,8
61,4,3,41
62,2,18,28
63,2,18,28
64,3,4,32
65,2,1,11
66,1,9,9
67,1,2,2
68,4,1,39
69,4,2,40
70,5,2,54
71,5,2,54
